서비스구분,서비스ID,대분류명,소분류명,서비스상태,서비스명
자체,S251123130842289825,체육시설,축구장,접수중,2026년 축구장-잠원한강공원
자체,S251123101131914502,체육시설,농구장,접수중,2026냔 농구장4-잠원한강공원
자체,S251123104303177370,체육시설,농구장,접수중,2026년 농구장3-잠원한강공원
자체,S251123104523867038,체육시설,농구장,접수중,2026년 농구장2-잠원한강공원
자체,S251123104733762948,체육시설,농구장,접수중,2026년 농구장1-잠원한강공원
자체,S251119173904566376,체육시설,축구장,접수중,2026년 축구장-반포한강공원
자체,S251123100255050953,체육시설,농구장,접수중,2026년 농구장2(상류)-반포한강공원
자체,S251123100610488569,체육시설,농구장,접수중,2026년 농구장1(상류)-반포한강공원
자체,S151223153002877769,체육시설,축구장,접수종료,인재개발원 축구장 대관
자체,S240911090012102103,체육시설,축구장,예약마감,축구 / 방배 / (24년 10~이후) 서초구 예약시스템에서 예약가능
자체,S240911090754004562,체육시설,풋살장,예약마감,풋살 / 방배 / (24년 10~이후) 서초구 예약시스템에서 예약가능
자체,S240911091215262623,체육시설,축구장,예약마감,축구 / 양재 / (24년 10~이후) 서초구 예약시스템에서 예약가능
자체,S190502151751379566,체육시설,테니스장,접수종료,인재개발원 테니스장(인조잔디 A면) 대관
자체,S190502160848522070,체육시설,테니스장,접수종료,인재개발원 테니스장(인조잔디 B면) 대관
자체,S251123095853782127,체육시설,농구장,접수중,2026년 농구장3(안내센터 앞)-반포한강공원
자체,S260727092401151116,체육시설,테니스장,예약일시중지,잠원 한강공원 테니스장 3번 코트 저녁
자체,S260727092838712920,체육시설,테니스장,예약일시중지,잠원 한강공원 테니스장 2번 코트 저녁
자체,S260727093621459196,체육시설,테니스장,예약일시중지,잠원 한강공원 테니스장 1번 코트 저녁
자체,S241210095552925088,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(야간사용)
자체,S241210100011131040,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(주간사용)
자체,S241210100257966783,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(조기사용)
자체,S241210100509852746,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(야간사용)
자체,S241210100804518772,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(주간사용)
자체,S241210100945082970,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(조기사용)
자체,S250113101314920195,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(야간사용)
자체,S250113101640215242,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(주간사용)
자체,S250113101818758665,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(조기사용)
자체,S250113102023294415,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(야간사용)
자체,S250113102201218909,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(주간사용)
자체,S250113102338543201,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(조기사용)
자체,S250211135036404614,체육시설,풋살장,접수중,잠실제3풋살경기장-토/일/공휴일(야간사용)
자체,S250211140953971656,체육시설,풋살장,접수중,잠실제3풋살경기장-토/일/공휴일(주간사용)
자체,S250211141846313201,체육시설,풋살장,접수중,잠실제3풋살경기장-토/일/공휴일(조기사용)
자체,S250211142516076364,체육시설,풋살장,접수중,잠실제3풋살경기장-평일(야간사용)
자체,S250211143413155816,체육시설,풋살장,접수중,잠실제3풋살경기장-평일(주간사용)
자체,S250211145700584544,체육시설,풋살장,접수중,잠실제3풋살경기장-평일(조기사용)
자체,S251123120252424273,체육시설,족구장,접수중,2026년 족구장2(안내센터상류)-광나루한강공원
자체,S251123120009548472,체육시설,족구장,접수중,2026년 족구장3(안내센터상류)-광나루한강공원
자체,S251122105737711565,체육시설,야구장,접수중,2026년 광나루 어린이야구장-광나루한강공원
자체,S251121171853868569,체육시설,야구장,접수중,2026년 광나루 성인야구장(평일)-광나루한강공원
자체,S251122083847480833,체육시설,야구장,접수중,2026년 광나루 성인야구장(토/일/공휴일)-광나루한강공원
