서비스구분,서비스ID,대분류명,소분류명,서비스상태,서비스명
자체,S251121100349891778,체육시설,테니스장,접수중,테니스장1(평일)-2026년 응봉공원(대현산배수지)
자체,S251121102355938084,체육시설,테니스장,접수중,테니스장1(토/일/공휴일)-2026년 응봉공원(대현산배수지)
자체,S251121103012746640,체육시설,테니스장,접수중,테니스장2(평일)-2026년 응봉공원(대현산배수지)
자체,S251121103347587479,체육시설,테니스장,접수중,테니스장2(토/일/공휴일)-2026년 응봉공원(대현산배수지)
자체,S251121103722953401,체육시설,다목적경기장,접수중,다목적구장-2026년 응봉공원(대현산배수지)
자체,S210401100008601453,체육시설,축구장,접수종료,○ [평일] (주간) 마포 난지천 인조잔디축구장
자체,S260706132614891677,체육시설,풋살장,접수중,8월 [평일]월드컵난지천공원 풋살장 대여 - 7월15일(수) 오후1시 접수
자체,S260706134128763150,체육시설,풋살장,접수중,8월 [공휴일주말]월드컵난지천공원 풋살장 대여 - 7월15일(수) 오후1시 접수
자체,S241210095552925088,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(야간사용)
자체,S241210100011131040,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(주간사용)
자체,S241210100257966783,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(조기사용)
자체,S241210100509852746,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(야간사용)
자체,S241210100804518772,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(주간사용)
자체,S241210100945082970,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(조기사용)
자체,S250113101314920195,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(야간사용)
자체,S250113101640215242,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(주간사용)
자체,S250113101818758665,체육시설,풋살장,접수종료,잠실제3풋살경기장-토/일/공휴일(조기사용)
자체,S250113102023294415,체육시설,풋살장,접수종료,잠실제3풋살경기장-평일(야간사용)
